City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
676,Fort Portal,0.6617,30.2748,68.22,75,100,0.87,UG,2022-04-23 06:59:46,overcast clouds
677,Novyy Urengoy,66.0833,76.6333,11.3,88,87,11.72,RU,2022-04-23 06:59:47,overcast clouds
678,Belmonte,-15.8631,-38.8828,75.49,88,93,3.44,BR,2022-04-23 06:59:47,overcast clouds
679,Aksay,47.26,39.87,55.62,56,88,3.0,RU,2022-04-23 06:59:47,overcast clouds
680,Panaba,21.2833,-88.2667,70.27,93,0,5.73,MX,2022-04-23 06:59:48,clear sky
681,San Jose,37.3394,-121.895,52.72,79,0,1.01,US,2022-04-23 06:57:35,clear sky
682,Filingue,14.3521,3.3168,89.08,11,74,8.95,NE,2022-04-23 06:59:48,broken clouds
683,Roma,43.2128,-75.4557,37.72,88,0,1.99,US,2022-04-23 07:00:52,clear sky
684,Itarema,-2.9248,-39.9167,74.19,96,100,11.01,BR,2022-04-23 07:00:54,heavy intensity rain
685,Nanning,22.8167,108.3167,86.43,62,70,7.7,CN,2022-04-23 07:00:55,broken clouds
