City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Do Gonbadan,IR,2022-04-09 00:40:32,30.3586,50.7981,66.29,34,100,0.0
260,Emilio Carranza,MX,2022-04-09 00:40:32,19.9711,-96.6114,70.57,61,100,7.54
261,Aksarka,RU,2022-04-09 00:40:32,66.5606,67.7975,-7.62,100,100,0.78
262,Karratha,AU,2022-04-09 00:40:33,-20.7377,116.8463,87.31,42,9,11.7
263,South Venice,US,2022-04-09 00:40:33,27.0531,-82.4243,69.98,58,75,16.11
264,Paramirim,BR,2022-04-09 00:40:34,-13.4425,-42.2389,69.94,47,0,3.4
265,Haapiti,PF,2022-04-09 00:40:34,-17.5667,-149.8667,87.53,71,100,16.2
266,Kysyl-Syr,RU,2022-04-09 00:40:34,63.8986,122.7617,24.03,92,97,4.45
267,Ndele,CF,2022-04-09 00:40:35,8.4109,20.6473,77.14,50,10,4.38
268,Samarai,PG,2022-04-09 00:40:35,-10.6167,150.6667,82.13,80,100,20.54
269,Lake Cowichan,CA,2022-04-09 00:40:35,48.825,-124.0546,53.73,80,85,10.18
270,Luba,GQ,2022-04-09 00:40:36,3.4568,8.5547,82.29,81,100,6.38
271,Sorland,NO,2022-04-09 00:41:36,67.667,12.6934,37.44,59,100,20.85
272,Tondano,ID,2022-04-09 00:41:36,1.3038,124.9112,78.89,65,96,1.36
273,Innisfail,AU,2022-04-09 00:41:37,-17.5333,146.0333,81.41,77,34,10.31
274,Acapulco,MX,2022-04-09 00:39:16,16.8634,-99.8901,80.42,74,75,10.36
275,Yuryev-Polskiy,RU,2022-04-09 00:41:37,56.5,39.6833,41.81,92,100,15.26
276,Dunedin,NZ,2022-04-09 00:41:37,-45.8742,170.5036,61.81,46,20,13.0
277,Netarhat,IN,2022-04-09 00:41:38,23.4833,84.2667,71.56,14,0,5.3
278,Springdale,US,2022-04-09 00:41:38,36.1867,-94.1288,51.53,43,75,14.97
279,Aksha,RU,2022-04-09 00:41:39,50.2814,113.2867,43.66,50,100,4.7
280,Bouar,CF,2022-04-09 00:41:39,5.934,15.596,66.27,88,75,3.8
281,Quatre Cocos,MU,2022-04-09 00:41:39,-20.2078,57.7625,76.08,80,58,14.63
282,Saskylakh,RU,2022-04-09 00:41:40,71.9167,114.0833,1.89,100,100,4.5
283,Mantua,IT,2022-04-09 00:41:40,45.1667,10.7833,55.06,80,54,1.99
284,Kassala,SD,2022-04-09 00:41:40,15.451,36.4,83.5,23,0,7.4
285,Oytal,KZ,2022-04-09 00:41:41,42.9057,73.2697,57.45,60,100,3.67
286,Jaegerspris,DK,2022-04-09 00:41:41,55.8554,11.9679,38.08,75,19,5.01
287,Stephenville,US,2022-04-09 00:41:41,32.2207,-98.2023,66.33,14,0,10.36
288,Sombrio,BR,2022-04-09 00:41:42,-29.1139,-49.6167,70.93,95,99,2.8
289,Lins,BR,2022-04-09 00:41:42,-21.6786,-49.7425,72.3,91,100,1.74
290,Ambon,ID,2022-04-09 00:41:42,-3.6954,128.1814,84.34,79,40,5.75
291,Lesosibirsk,RU,2022-04-09 00:41:43,58.2358,92.4828,33.67,93,100,4.09
292,Luderitz,NA,2022-04-09 00:41:43,-26.6481,15.1594,59.31,79,0,9.13
293,Dalby,AU,2022-04-09 00:41:44,-27.1833,151.2667,76.98,59,20,5.99
294,Airai,TL,2022-04-09 00:41:44,-8.9266,125.4092,72.28,49,60,2.86
